Len_min,N_clusters,K_neighb,Silh,St_edges
25,11,6,-0.02482502579443235,[  0  44 141 169 323 357]
30,11,6,-0.02482502579443235,[  0  44 169 323 357]
35,11,6,-0.02482502579443235,[  0  44 169 357]
25,11,7,-0.021926151203244107,[  0  30 115 141 170 323 357]
30,11,7,-0.021926151203244107,[  0 170 323 357]
35,11,7,-0.021926151203244107,[  0 170 357]
25,11,8,-0.039445045950996835,[  0  30 115 142 170 204 286 323 357]
30,11,8,-0.039445045950996835,[  0 170 204 286 323 357]
35,11,8,-0.039445045950996835,[  0 170 286 357]
25,11,9,-0.028832791632878114,[  0  41 115 141 170 323 357]
30,11,9,-0.028832791632878114,[  0  41 170 323 357]
35,11,9,-0.028832791632878114,[  0  41 170 357]
25,11,10,-0.010087257389892391,[  0  30 141 170 323 357]
30,11,10,-0.010087257389892391,[  0 170 323 357]
35,11,10,-0.010087257389892391,[  0 170 357]
25,12,4,-0.034035595672798714,[  0 142 171 325 357]
30,12,4,-0.034035595672798714,[  0 171 325 357]
35,12,4,-0.034035595672798714,[  0 171 357]
25,12,5,-0.039331223339760656,[  0 113 164 323 357]
30,12,5,-0.039331223339760656,[  0 113 164 323 357]
35,12,5,-0.039331223339760656,[  0 113 164 357]
25,12,6,-0.037410338936280214,[  0  44 141 169 323 357]
30,12,6,-0.037410338936280214,[  0  44 169 323 357]
35,12,6,-0.037410338936280214,[  0  44 169 357]
25,12,7,-0.022135217811838956,[  0  30 115 141 170 323 357]
30,12,7,-0.022135217811838956,[  0 170 323 357]
35,12,7,-0.022135217811838956,[  0 170 357]
25,12,8,-0.038248441171718,[  0  30 115 141 170 204 286 323 357]
30,12,8,-0.038248441171718,[  0 170 204 286 323 357]
35,12,8,-0.038248441171718,[  0 170 286 357]
25,12,9,-0.03481002629285965,[  0  41 115 141 170 323 357]
30,12,9,-0.03481002629285965,[  0  41 170 323 357]
35,12,9,-0.03481002629285965,[  0  41 170 357]
25,12,10,-0.013287813966673822,[  0  30 141 170 323 357]
30,12,10,-0.013287813966673822,[  0 170 323 357]
35,12,10,-0.013287813966673822,[  0 170 357]
25,13,4,-0.03335972761144673,[  0 142 171 325 357]
30,13,4,-0.03335972761144673,[  0 171 325 357]
35,13,4,-0.03335972761144673,[  0 171 357]
25,13,5,-0.040911476672329763,[  0 113 164 323 357]
30,13,5,-0.040911476672329763,[  0 113 164 323 357]
35,13,5,-0.040911476672329763,[  0 113 164 357]
25,13,6,-0.038237671017502535,[  0  44 141 169 323 357]
30,13,6,-0.038237671017502535,[  0  44 169 323 357]
35,13,6,-0.038237671017502535,[  0  44 169 357]
25,13,7,-0.027488570382213296,[  0  30 115 141 170 323 357]
30,13,7,-0.027488570382213296,[  0 170 323 357]
35,13,7,-0.027488570382213296,[  0 170 357]
25,13,8,-0.035995043285380904,[  0  30 115 141 170 204 286 323 357]
30,13,8,-0.035995043285380904,[  0 170 204 286 323 357]
35,13,8,-0.035995043285380904,[  0 170 286 357]
25,13,9,-0.03248466275770231,[  0  41 115 141 170 323 357]
30,13,9,-0.03248466275770231,[  0  41 170 323 357]
35,13,9,-0.03248466275770231,[  0  41 170 357]
25,13,10,-0.012868714479508553,[  0  30 141 170 323 357]
30,13,10,-0.012868714479508553,[  0 170 323 357]
35,13,10,-0.012868714479508553,[  0 170 357]
25,14,4,-0.04088724752704229,[  0 142 171 325 357]
30,14,4,-0.04088724752704229,[  0 171 325 357]
35,14,4,-0.04088724752704229,[  0 171 357]
25,14,5,-0.043010213805319907,[  0 113 164 323 357]
30,14,5,-0.043010213805319907,[  0 113 164 323 357]
35,14,5,-0.043010213805319907,[  0 113 164 357]
25,14,6,-0.045387798996860323,[  0  44 113 141 169 204 276 323 357]
30,14,6,-0.045387798996860323,[  0  44 169 204 276 323 357]
35,14,6,-0.045387798996860323,[  0  44 169 276 357]
25,14,7,-0.028522433131010588,[  0  30 115 141 170 323 357]
30,14,7,-0.028522433131010588,[  0 170 323 357]
35,14,7,-0.028522433131010588,[  0 170 357]
25,14,8,-0.03521341185712351,[  0  30 115 141 170 204 286 323 357]
30,14,8,-0.03521341185712351,[  0 170 204 286 323 357]
35,14,8,-0.03521341185712351,[  0 170 286 357]
25,14,9,-0.030832494597492696,[  0  41 115 141 170 323 357]
30,14,9,-0.030832494597492696,[  0  41 170 323 357]
35,14,9,-0.030832494597492696,[  0  41 170 357]
25,14,10,-0.01687186311375697,[  0  30 141 170 323 357]
30,14,10,-0.01687186311375697,[  0 170 323 357]
35,14,10,-0.01687186311375697,[  0 170 357]
25,15,4,-0.04531347133904508,[  0 142 171 325 357]
30,15,4,-0.04531347133904508,[  0 171 325 357]
35,15,4,-0.04531347133904508,[  0 171 357]
25,15,5,-0.04001928131622472,[  0 113 164 323 357]
30,15,5,-0.04001928131622472,[  0 113 164 323 357]
35,15,5,-0.04001928131622472,[  0 113 164 357]
25,15,6,-0.04533341776940914,[  0  44 113 141 169 204 276 323 357]
30,15,6,-0.04533341776940914,[  0  44 169 204 276 323 357]
35,15,6,-0.04533341776940914,[  0  44 169 276 357]
25,15,7,-0.03127378833301149,[  0  30 115 141 170 323 357]
30,15,7,-0.03127378833301149,[  0 170 323 357]
35,15,7,-0.03127378833301149,[  0 170 357]
25,15,8,-0.036509660053801636,[  0  30 115 141 170 204 286 323 357]
30,15,8,-0.036509660053801636,[  0 170 204 286 323 357]
35,15,8,-0.036509660053801636,[  0 170 286 357]
25,15,9,-0.032995651774090355,[  0  41 115 141 170 323 357]
30,15,9,-0.032995651774090355,[  0  41 170 323 357]
35,15,9,-0.032995651774090355,[  0  41 170 357]
25,15,10,-0.021674236066436325,[  0  30 141 170 323 357]
30,15,10,-0.021674236066436325,[  0 170 323 357]
35,15,10,-0.021674236066436325,[  0 170 357]
25,16,4,-0.04519092894423799,[  0 142 171 325 357]
30,16,4,-0.04519092894423799,[  0 171 325 357]
35,16,4,-0.04519092894423799,[  0 171 357]
25,16,5,-0.04678005522889148,[  0 113 164 323 357]
30,16,5,-0.04678005522889148,[  0 113 164 323 357]
35,16,5,-0.04678005522889148,[  0 113 164 357]
25,16,6,-0.04830303320915783,[  0  44 113 141 169 204 276 323 357]
30,16,6,-0.04830303320915783,[  0  44 169 204 276 323 357]
35,16,6,-0.04830303320915783,[  0  44 169 276 357]
25,16,7,-0.03227509505440159,[  0  30 115 141 170 323 357]
30,16,7,-0.03227509505440159,[  0 170 323 357]
35,16,7,-0.03227509505440159,[  0 170 357]
25,16,8,-0.0384163436556,[  0  30 115 141 170 204 286 323 357]
30,16,8,-0.0384163436556,[  0 170 204 286 323 357]
35,16,8,-0.0384163436556,[  0 170 286 357]
25,16,9,-0.032090788217654605,[  0  41 115 141 170 323 357]
30,16,9,-0.032090788217654605,[  0  41 170 323 357]
35,16,9,-0.032090788217654605,[  0  41 170 357]
25,16,10,-0.022841134899539636,[  0  30 141 170 323 357]
30,16,10,-0.022841134899539636,[  0 170 323 357]
35,16,10,-0.022841134899539636,[  0 170 357]
25,17,4,-0.0442165430405255,[  0 113 142 171 325 357]
30,17,4,-0.0442165430405255,[  0 171 325 357]
35,17,4,-0.0442165430405255,[  0 171 357]
25,17,5,-0.057771914884919284,[  0 113 164 323 357]
30,17,5,-0.057771914884919284,[  0 113 164 323 357]
35,17,5,-0.057771914884919284,[  0 113 164 357]
25,17,6,-0.049502146117868365,[  0  44 113 141 169 204 276 323 357]
30,17,6,-0.049502146117868365,[  0  44 169 204 276 323 357]
35,17,6,-0.049502146117868365,[  0  44 169 276 357]
25,17,7,-0.03358386897851471,[  0  30 115 141 170 323 357]
30,17,7,-0.03358386897851471,[  0 170 323 357]
35,17,7,-0.03358386897851471,[  0 170 357]
25,17,8,-0.04688713582787169,[  0  30 115 141 170 204 286 323 357]
30,17,8,-0.04688713582787169,[  0 170 204 286 323 357]
35,17,8,-0.04688713582787169,[  0 170 286 357]
25,17,9,-0.04979477150526852,[  0  41 115 141 170 323 357]
30,17,9,-0.04979477150526852,[  0  41 170 323 357]
35,17,9,-0.04979477150526852,[  0  41 170 357]
25,17,10,-0.021977000278412914,[  0  30 141 170 323 357]
30,17,10,-0.021977000278412914,[  0 170 323 357]
35,17,10,-0.021977000278412914,[  0 170 357]
25,18,4,-0.044001929060169684,[  0 113 142 171 325 357]
30,18,4,-0.044001929060169684,[  0 171 325 357]
35,18,4,-0.044001929060169684,[  0 171 357]
25,18,5,-0.0562577267058201,[  0 113 164 323 357]
30,18,5,-0.0562577267058201,[  0 113 164 323 357]
35,18,5,-0.0562577267058201,[  0 113 164 357]
25,18,6,-0.04962820347686188,[  0  44 113 141 169 204 276 323 357]
30,18,6,-0.04962820347686188,[  0  44 169 204 276 323 357]
35,18,6,-0.04962820347686188,[  0  44 169 276 357]
25,18,7,-0.03332957037414568,[  0  30 115 141 170 323 357]
30,18,7,-0.03332957037414568,[  0 170 323 357]
35,18,7,-0.03332957037414568,[  0 170 357]
25,18,8,-0.04449181807259602,[  0  30 115 141 170 204 286 323 357]
30,18,8,-0.04449181807259602,[  0 170 204 286 323 357]
35,18,8,-0.04449181807259602,[  0 170 286 357]
25,18,9,-0.05471110113191386,[  0  41 115 141 170 323 357]
30,18,9,-0.05471110113191386,[  0  41 170 323 357]
35,18,9,-0.05471110113191386,[  0  41 170 357]
25,18,10,-0.026641257678032423,[  0  30 141 170 323 357]
30,18,10,-0.026641257678032423,[  0 170 323 357]
35,18,10,-0.026641257678032423,[  0 170 357]
25,19,4,-0.044082345996786176,[  0  82 113 142 171 325 357]
30,19,4,-0.044082345996786176,[  0  82 171 325 357]
35,19,4,-0.044082345996786176,[  0  82 171 357]
25,19,5,-0.05819345743662463,[  0 113 164 323 357]
30,19,5,-0.05819345743662463,[  0 113 164 323 357]
35,19,5,-0.05819345743662463,[  0 113 164 357]
25,19,6,-0.04858862175508819,[  0  44 113 141 169 204 276 323 357]
30,19,6,-0.04858862175508819,[  0  44 169 204 276 323 357]
35,19,6,-0.04858862175508819,[  0  44 169 276 357]
25,19,7,-0.03565177628140454,[  0  30 115 141 170 323 357]
30,19,7,-0.03565177628140454,[  0 170 323 357]
35,19,7,-0.03565177628140454,[  0 170 357]
25,19,8,-0.04879986665186118,[  0  30 115 141 170 204 286 323 357]
30,19,8,-0.04879986665186118,[  0 170 204 286 323 357]
35,19,8,-0.04879986665186118,[  0 170 286 357]
25,19,9,-0.05601225256820903,[  0  41 115 141 170 323 357]
30,19,9,-0.05601225256820903,[  0  41 170 323 357]
35,19,9,-0.05601225256820903,[  0  41 170 357]
25,19,10,-0.03447850181426358,[  0  30  73 141 170 206 267 323 357]
30,19,10,-0.03447850181426358,[  0  73 170 206 267 323 357]
35,19,10,-0.03447850181426358,[  0  73 170 206 267 357]
25,20,4,-0.05577830660447609,[  0 142 171 325 357]
30,20,4,-0.05577830660447609,[  0 171 325 357]
35,20,4,-0.05577830660447609,[  0 171 357]
25,20,5,-0.05791472444166434,[  0  82 113 164 323 357]
30,20,5,-0.05791472444166434,[  0  82 113 164 323 357]
35,20,5,-0.05791472444166434,[  0 113 164 357]
25,20,6,-0.04674120947403558,[  0  44 113 141 169 204 295 323 357]
30,20,6,-0.04674120947403558,[  0  44 169 204 323 357]
35,20,6,-0.04674120947403558,[  0  44 169 357]
25,20,7,-0.038569489599542615,[  0  30 115 141 170 323 357]
30,20,7,-0.038569489599542615,[  0 170 323 357]
35,20,7,-0.038569489599542615,[  0 170 357]
25,20,8,-0.048151043611417414,[  0  30 115 141 170 323 357]
30,20,8,-0.048151043611417414,[  0 170 323 357]
35,20,8,-0.048151043611417414,[  0 170 357]
25,20,9,-0.05282225053607191,[  0  41 115 141 170 323 357]
30,20,9,-0.05282225053607191,[  0  41 170 323 357]
35,20,9,-0.05282225053607191,[  0  41 170 357]
25,20,10,-0.034624811275711063,[  0  30  73 141 170 206 267 323 357]
30,20,10,-0.034624811275711063,[  0  73 170 206 267 323 357]
35,20,10,-0.034624811275711063,[  0  73 170 206 267 357]
