Method,Silh,Cal-Har,Dav-Bold
stages_mode_8_25_7_15,-0.04559746786284699,5.08366813466024,5.803720273498637
stages_mean_8_25_7_15,-0.044240690060786014,5.362965746533121,5.181174533792722
stages_med_9_25_7_15,-0.04355499868196625,5.919260709433939,5.061243461679397
stages_mode_9_25_7_15,-0.04237777256294635,5.830963349689642,5.468232030014676
stages_mean_9_25_7_15,-0.042354192929520404,4.828541904572693,5.2945025534686785
stages_med_10_25_7_15,-0.0631615830516805,5.492457071877309,4.822504400296524
stages_mode_10_25_7_15,-0.07278112896358448,5.481382914598692,4.9412813122900765
stages_mean_10_25_7_15,-0.06680853688905761,4.575510786770336,5.010616885569654
stages_med_11_25_7_15,-0.07398759444071852,5.117576992993267,4.852487269472839
stages_mode_11_25_7_15,-0.08792133011048694,5.18747848391351,4.744377611904962
stages_mean_11_25_7_15,-0.07780951631256874,4.273043967798053,4.973359452789977
stages_med_12_25_7_15,-0.10831234957373272,9.676424249538547,4.653813339578979
stages_mode_12_25_7_15,-0.11496524088730177,9.758779934513155,4.554712820141758
stages_mean_12_25_7_15,-0.10888392457720458,9.62598479587753,4.696891603899307
stages_med_13_25_7_15,-0.1109336162913104,9.10096370134886,4.506605922143788
stages_mode_13_25_7_15,-0.11468193571359139,9.092086384424746,4.473577384476245
stages_mean_13_25_7_15,-0.11151707364658033,9.054229005282393,4.5463704738240915
stages_med_3_25_7_20,0.003114237549711302,8.54908879361451,5.405281005232614
stages_mode_3_25_7_20,0.003114237549711302,8.54908879361451,5.405281005232614
stages_mean_3_25_7_20,0.008105987079890648,6.889600918301678,5.722037367299522
stages_med_4_25_7_20,-0.01253515640664525,6.9090671068244855,5.552599426025861
stages_mode_4_25_7_20,-0.02338738273344021,6.688762781905055,6.081261767451416
stages_mean_4_25_7_20,-0.01391830313252039,5.631513609583716,6.165665623141978
stages_med_5_25_7_20,-0.016334127550800517,7.185683194931746,4.864679419406353
stages_mode_5_25_7_20,-0.021597150623365,6.9937697767520515,5.329907249180858
stages_mean_5_25_7_20,-0.01777045230548415,5.389529663551521,5.964994115986512
stages_med_6_25_7_20,-0.03214748796357182,6.658442945750076,4.763160157377448
stages_mode_6_25_7_20,-0.038544470086257325,6.232930530062085,5.031035033924431
stages_mean_6_25_7_20,-0.028260849350839452,5.673443151085944,5.368756874391047
stages_med_7_25_7_20,-0.04240504670260498,5.90478768573699,5.604666011273814
stages_mode_7_25_7_20,-0.04509874864017571,5.579100587569488,5.636729874851495
stages_mean_7_25_7_20,-0.04093210591474524,5.634126537866606,5.714966287604471
stages_med_8_25_7_20,-0.04433956638105269,5.481633986713325,5.357168106144545
stages_mode_8_25_7_20,-0.046426928528107494,5.010091054765188,5.8434743182636755
stages_mean_8_25_7_20,-0.042844649295574896,5.245579302434648,5.490342561592345
stages_med_9_25_7_20,-0.04876494325969007,5.089438099355615,5.438109149087582
stages_mode_9_25_7_20,-0.05639818917468387,4.6952946995864595,6.068907942311074
stages_mean_9_25_7_20,-0.04918790521537621,4.960624072892326,5.408178637658665
stages_med_10_25_7_20,-0.05316525614624029,5.489165025100927,5.613069821192381
stages_mode_10_25_7_20,-0.052661431471471475,5.412124043533268,5.759341929366409
stages_mean_10_25_7_20,-0.04731758624836495,4.5041696223957075,5.756656489893003
stages_med_11_25_7_20,-0.0612526584991131,5.195051820038311,5.424576698881504
stages_mode_11_25_7_20,-0.06122271608058101,5.12497120023462,5.594524450667508
stages_mean_11_25_7_20,-0.05972347708538228,4.253900055259709,5.577526315345978
stages_med_12_25_7_20,-0.07436062514918107,4.914248959329467,5.2119117639213
stages_mode_12_25_7_20,-0.08237118568631965,4.906762276702118,5.176130848114795
stages_mean_12_25_7_20,-0.07699418697357262,4.101853944108179,5.295373247913831
stages_med_13_25_7_20,-0.10578080760377033,9.171726953843441,4.996765145352456
stages_mode_13_25_7_20,-0.10930707714131896,9.162816343741575,4.963736607684913
stages_mean_13_25_7_20,-0.10694596433498925,9.122109332409067,4.988151819250236
stages_med_3_25_8_10,0.003114237549711302,8.54908879361451,5.405281005232614
stages_mode_3_25_8_10,-0.005451826809223475,7.459566959062305,4.919120172590769
stages_mean_3_25_8_10,0.009173730173600295,6.765957352793758,5.76099057737738
stages_med_4_25_8_10,-0.015454230378592606,7.43797809797391,5.223858597347208
stages_mode_4_25_8_10,-0.01190130323201428,7.083234433810467,5.394300419431882
stages_mean_4_25_8_10,-0.01253095996768789,5.912725241564623,5.985594080983067
stages_med_5_25_8_10,-0.016334127550800517,7.185683194931746,4.864679419406353
stages_mode_5_25_8_10,-0.016334127550800517,7.185683194931746,4.864679419406353
stages_mean_5_25_8_10,-0.015869213132948774,5.734628951890175,5.421393008247565
stages_med_6_25_8_10,-0.03499453217785063,6.12177182004105,5.514458506107691
stages_mode_6_25_8_10,-0.03499453217785063,6.12177182004105,5.514458506107691
stages_mean_6_25_8_10,-0.0360016350959233,5.660305196753698,5.6126074843931315
stages_med_7_25_8_10,-0.041208652565140405,5.936998983719328,5.387677654250685
stages_mode_7_25_8_10,-0.041208652565140405,5.936998983719328,5.387677654250685
stages_mean_7_25_8_10,-0.040991937620143595,5.763472436414156,5.6058259613207975
stages_med_8_25_8_10,-0.0429692071741751,5.467978813658287,5.1156167272697015
stages_mode_8_25_8_10,-0.0429692071741751,5.467978813658287,5.1156167272697015
stages_mean_8_25_8_10,-0.04252269877724573,5.217962626913504,5.457012868984261
